life_expectancy,alcohol,hepatitis_b,measles,polio,diphtheria,hiv/aids
75.6,8.33,94.0,3,97.0,94.0,0.1
75.4,8.41,9.0,0,94.0,93.0,0.1
74.8,8.16,85.0,0,92.0,91.0,0.1
75.2,7.75,84.0,0,92.0,91.0,0.1
74.9,7.53,88.0,0,95.0,98.0,0.1
74.7,7.63,81.0,0,91.0,98.0,0.1
74.1,7.62,73.0,0,95.0,96.0,0.1
74.1,7.81,66.0,0,94.0,93.0,0.1
74.0,7.76,92.0,0,85.0,83.0,0.1
74.1,7.68,92.0,6,88.0,83.0,0.1
74.8,3.755,94.0,33,96.0,94.0,0.1
74.6,3.91,93.0,13,95.0,93.0,0.1
74.4,3.79,95.0,10,96.0,95.0,0.1
74.4,3.89,95.0,0,96.0,95.0,0.1
73.9,4.09,95.0,0,96.0,95.0,0.1
73.5,4.23,94.0,2,96.0,94.0,0.1
73.3,3.96,93.0,0,94.0,93.0,0.1
73.2,3.96,89.0,0,91.0,89.0,0.1
73.5,3.99,85.0,1,9.0,88.0,0.1
72.9,4.01,78.0,137,87.0,87.0,0.1
73.0,4.25,91.0,2281,92.0,9.0,0.1
73.0,3.81,91.0,1783,93.0,91.0,0.1
72.7,3.03,93.0,4,96.0,94.0,0.1
72.6,2.86,91.0,40,96.0,94.0,0.1
72.6,2.86,69.0,69,97.0,94.0,0.1
72.0,2.9,55.0,15,96.0,93.0,0.1
82.8,3.755,93.0,74,93.0,93.0,0.1
82.7,9.71,91.0,340,92.0,92.0,0.1
82.5,9.87,91.0,158,91.0,91.0,0.1
82.3,10.03,91.0,199,92.0,92.0,0.1
82.0,10.3,92.0,190,92.0,92.0,0.1
81.9,10.52,92.0,70,92.0,92.0,0.1
81.7,10.62,94.0,104,92.0,92.0,0.1
81.3,10.76,94.0,65,92.0,92.0,0.1
81.3,10.56,94.0,11,92.0,92.0,0.1
81.2,10.31,95.0,0,92.0,92.0,0.1
81.0,10.3,95.0,10,92.0,92.0,0.1
86.0,9.84,95.0,70,92.0,92.0,0.1
83.0,9.97,95.0,91,92.0,93.0,0.1
79.9,9.84,95.0,32,92.0,92.0,0.1
79.9,9.53,94.0,141,91.0,92.0,0.1
79.5,10.17,92.0,108,9.0,9.0,0.1
81.5,3.755,93.0,309,93.0,93.0,0.1
81.4,12.32,98.0,117,98.0,98.0,0.1
81.1,11.82,95.0,0,95.0,95.0,0.1
88.0,12.26,92.0,36,92.0,92.0,0.1
88.0,12.04,89.0,68,89.0,89.0,0.1
84.0,12.1,86.0,52,86.0,86.0,0.1
82.0,11.3,83.0,49,83.0,83.0,0.1
84.0,12.0,83.0,448,83.0,83.0,0.1
81.0,12.5,85.0,20,85.0,85.0,0.1
79.8,12.4,83.0,23,83.0,83.0,0.1
79.4,12.4,86.0,9,86.0,86.0,0.1
79.3,12.1,83.0,15,83.0,83.0,0.1
78.8,12.2,83.0,90,84.0,84.0,0.1
78.7,12.5,81.0,0,82.0,83.0,0.1
78.6,12.4,44.0,0,83.0,84.0,0.1
78.1,13.2,33.0,0,71.0,81.0,0.1
72.7,3.755,96.0,0,98.0,96.0,0.1
72.5,0.01,94.0,0,97.0,94.0,0.1
72.2,2.14,93.0,164,96.0,93.0,0.1
71.9,0.01,88.0,0,92.0,89.0,0.1
71.6,1.98,84.0,0,91.0,87.0,0.1
71.1,1.98,8.0,0,85.0,81.0,0.1
78.0,2.1,74.0,0,84.0,81.0,0.1
73.0,1.18,68.0,5,85.0,81.0,0.1
73.0,1.02,62.0,0,81.0,79.0,0.1
69.2,0.85,52.0,222,8.0,78.0,0.1
68.4,0.73,49.0,1238,79.0,75.0,0.1
68.4,0.62,5.0,827,78.0,77.0,0.1
67.8,0.55,51.0,1978,79.0,77.0,0.1
67.8,0.55,5.0,4353,8.0,76.0,0.1
67.5,0.51,92.0,574,77.0,77.0,0.1
66.6,0.65,92.0,210,75.0,76.0,0.1
76.1,3.755,95.0,0,95.0,95.0,0.1
75.4,9.45,96.0,0,96.0,96.0,0.1
74.8,9.42,97.0,0,97.0,97.0,0.1
74.9,9.5,96.0,0,99.0,98.0,0.2
75.0,9.34,95.0,0,97.0,98.0,0.1
75.0,9.19,98.0,0,97.0,99.0,0.2
74.6,9.29,95.0,0,97.0,96.0,0.1
74.5,10.15,9.0,0,93.0,93.0,0.1
74.4,10.75,93.0,0,95.0,95.0,0.1
74.2,11.07,96.0,0,94.0,95.0,0.1
74.1,10.49,93.0,0,93.0,93.0,0.1
73.8,10.1,93.0,0,92.0,93.0,0.1
73.2,10.68,88.0,0,93.0,92.0,0.1
73.1,10.85,89.0,0,93.0,94.0,0.1
72.9,11.64,21.0,0,98.0,99.0,0.2
72.6,12.15,92.0,0,91.0,99.0,0.1
76.9,3.755,98.0,0,98.0,98.0,0.1
76.8,1.57,98.0,46,98.0,98.0,0.1
76.7,1.65,99.0,0,99.0,99.0,0.1
76.5,1.7,99.0,0,99.0,99.0,0.1
76.1,1.66,99.0,0,99.0,99.0,0.1
76.1,1.93,99.0,0,99.0,99.0,0.1
76.0,1.95,98.0,3,97.0,98.0,0.1
75.8,2.0,97.0,2,97.0,97.0,0.1
75.6,2.0,97.0,7,97.0,97.0,0.1
75.5,2.1,98.0,3,98.0,98.0,0.1
75.3,2.05,98.0,4,98.0,98.0,0.1
75.2,2.16,98.0,11,98.0,98.0,0.1
75.0,2.16,98.0,12,97.0,97.0,0.1
74.9,1.99,98.0,8,98.0,98.0,0.1
74.7,1.95,99.0,5,99.0,99.0,0.1
74.5,2.15,97.0,6,97.0,97.0,0.1
71.8,3.755,97.0,240,97.0,97.0,0.1
71.4,0.01,97.0,289,97.0,97.0,0.1
71.0,0.01,96.0,237,96.0,96.0,0.1
77.0,0.01,94.0,1986,94.0,94.0,0.1
73.0,0.01,96.0,5625,96.0,96.0,0.1
69.9,0.01,94.0,788,94.0,94.0,0.1
69.5,0.01,97.0,718,97.0,97.0,0.1
69.1,0.01,96.0,2660,96.0,96.0,0.1
68.6,0.01,95.0,2924,96.0,94.0,0.1
68.2,0.01,86.0,6192,95.0,94.0,0.1
67.8,0.01,45.0,25934,94.0,93.0,0.1
67.3,0.01,11.0,9743,88.0,99.0,0.1
66.8,0.01,5.0,4067,9.0,87.0,0.1
66.3,0.01,92.0,3484,83.0,83.0,0.1
65.8,0.01,92.0,4414,85.0,85.0,0.1
65.3,0.01,92.0,5098,83.0,82.0,0.1
75.5,3.755,97.0,0,97.0,97.0,0.1
75.4,8.82,94.0,0,95.0,94.0,0.1
75.2,8.74,91.0,0,91.0,91.0,0.1
75.1,8.61,87.0,0,88.0,87.0,0.1
74.9,8.51,91.0,0,91.0,91.0,0.1
74.7,8.41,86.0,0,9.0,86.0,0.1
74.6,8.46,93.0,0,93.0,93.0,0.1
74.4,8.95,85.0,0,85.0,85.0,0.1
74.2,8.47,93.0,0,93.0,93.0,0.1
74.1,8.39,84.0,0,85.0,84.0,0.1
73.9,8.01,92.0,0,91.0,92.0,0.1
73.8,7.68,93.0,0,93.0,93.0,0.2
73.7,7.65,91.0,0,9.0,89.0,0.4
73.5,7.59,66.0,0,86.0,87.0,0.8
73.4,7.38,18.0,0,93.0,84.0,0.7
73.3,7.43,92.0,0,86.0,93.0,0.9
72.3,3.755,99.0,2,99.0,99.0,0.1
72.0,13.94,97.0,64,97.0,97.0,0.1
71.7,14.66,98.0,16,98.0,98.0,0.1
71.9,16.35,97.0,10,98.0,98.0,0.1
72.0,17.31,98.0,50,98.0,98.0,0.1
73.0,14.44,96.0,1,99.0,98.0,0.1
70.0,14.09,98.0,0,98.0,96.0,0.1
70.0,14.67,98.0,0,98.0,97.0,0.1
69.8,14.22,91.0,1,9.0,95.0,0.1
68.9,12.6,98.0,149,97.0,99.0,0.1
68.1,11.01,99.0,1,98.0,99.0,0.1
68.2,12.05,99.0,2,99.0,99.0,0.1
67.7,11.17,56.0,21,53.0,5.0,0.1
67.2,12.23,99.0,14,99.0,99.0,0.1
67.7,10.74,93.0,45,99.0,99.0,0.1
68.0,12.98,7.0,21,99.0,99.0,0.1
81.1,3.755,98.0,47,99.0,99.0,0.1
89.0,12.6,98.0,70,99.0,99.0,0.1
87.0,11.77,98.0,39,99.0,99.0,0.1
83.0,10.08,98.0,109,99.0,99.0,0.1
83.0,10.11,97.0,576,98.0,98.0,0.1
80.0,10.22,97.0,40,98.0,98.0,0.1
79.8,10.05,97.0,33,98.0,98.0,0.1
79.5,10.47,98.0,98,99.0,99.0,0.1
79.5,10.25,94.0,64,99.0,98.0,0.1
79.4,10.98,94.0,15,99.0,98.0,0.1
78.9,12.27,77.0,26,97.0,97.0,0.1
78.8,12.05,64.0,61,96.0,95.0,0.1
78.3,11.28,64.0,44,96.0,95.0,0.1
78.0,11.29,6.0,0,96.0,95.0,0.1
78.0,11.01,6.0,83,96.0,95.0,0.1
77.6,11.21,6.0,0,96.0,95.0,0.1
71.0,3.755,94.0,0,94.0,94.0,0.2
70.0,6.58,95.0,0,95.0,95.0,0.2
69.8,6.56,95.0,0,95.0,95.0,0.2
69.4,6.66,98.0,0,98.0,98.0,0.1
69.4,6.64,95.0,0,95.0,95.0,0.5
69.5,6.76,96.0,0,96.0,96.0,0.2
69.5,6.85,97.0,0,98.0,97.0,0.3
69.6,7.22,94.0,0,94.0,94.0,0.1
69.6,7.24,96.0,0,97.0,96.0,0.6
69.4,6.48,98.0,0,98.0,98.0,0.6
69.0,6.25,96.0,0,96.0,96.0,0.8
68.7,6.2,97.0,0,97.0,97.0,0.8
68.4,5.67,96.0,0,95.0,96.0,1.5
68.5,4.99,97.0,0,93.0,89.0,0.1
68.2,4.9,96.0,0,96.0,96.0,0.4
68.3,4.79,76.0,0,91.0,91.0,0.3
60.0,3.755,82.0,55,78.0,82.0,1.0
59.7,0.01,78.0,786,74.0,78.0,1.1
59.5,0.01,77.0,637,73.0,77.0,1.2
59.3,0.01,8.0,288,8.0,8.0,1.3
59.1,1.4,75.0,426,77.0,75.0,1.4
58.7,1.33,76.0,392,77.0,76.0,1.4
58.4,1.16,79.0,1461,8.0,79.0,1.6
57.6,1.28,75.0,928,77.0,75.0,1.8
57.1,1.12,82.0,341,82.0,82.0,2.0
56.8,1.19,74.0,176,76.0,74.0,2.0
56.5,1.13,7.0,210,73.0,7.0,2.1
56.1,1.15,75.0,262,74.0,72.0,2.1
55.8,1.35,73.0,217,75.0,73.0,2.1
55.6,1.23,15.0,1588,76.0,75.0,2.1
55.5,1.29,92.0,5859,77.0,76.0,2.1
55.4,1.34,92.0,4244,78.0,78.0,2.0
69.8,3.755,99.0,11,98.0,99.0,0.5
69.4,0.01,99.0,0,98.0,99.0,0.5
69.1,0.01,97.0,0,97.0,97.0,0.6
68.7,0.01,97.0,1,97.0,97.0,0.6
68.3,0.23,95.0,10,95.0,95.0,0.5
67.9,0.28,91.0,21,92.0,91.0,0.5
67.4,0.17,93.0,6,93.0,93.0,0.4
67.0,0.21,96.0,7,96.0,96.0,0.4
66.5,0.16,95.0,11,93.0,95.0,0.3
65.8,0.29,95.0,2,96.0,95.0,0.3
65.0,0.73,95.0,11,95.0,95.0,0.3
64.2,0.96,89.0,3,9.0,89.0,0.3
63.3,0.52,95.0,0,96.0,95.0,0.2
62.5,0.29,83.0,27,89.0,86.0,0.1
61.7,0.14,89.0,756,88.0,88.0,0.1
62.0,0.17,98.0,418,98.0,92.0,0.1
77.0,3.755,99.0,0,99.0,99.0,0.1
74.0,3.62,98.0,0,99.0,98.0,0.1
71.0,3.78,94.0,0,95.0,94.0,0.1
69.8,3.89,93.0,0,93.0,93.0,0.1
69.3,3.93,95.0,0,95.0,95.0,0.2
68.7,3.95,91.0,0,9.0,91.0,0.2
68.0,3.87,93.0,0,92.0,93.0,0.2
67.4,3.77,88.0,0,87.0,88.0,0.2
66.8,3.47,84.0,0,85.0,84.0,0.2
66.2,3.23,83.0,0,82.0,83.0,0.2
65.7,2.86,85.0,0,84.0,85.0,0.2
65.1,2.66,84.0,0,84.0,84.0,0.2
64.5,2.37,8.0,0,82.0,88.0,0.2
63.9,2.26,77.0,0,76.0,77.0,0.1
63.3,2.2,77.0,0,71.0,71.0,0.1
62.6,2.32,77.0,122,74.0,75.0,0.1
77.4,3.755,82.0,1677,74.0,82.0,0.1
77.2,4.03,89.0,3000,86.0,86.0,0.1
77.0,4.12,91.0,0,87.0,89.0,0.1
76.8,4.61,92.0,22,87.0,92.0,0.1
76.9,4.64,88.0,10,89.0,88.0,0.1
76.4,4.54,89.0,45,9.0,89.0,0.1
76.1,4.75,9.0,22,9.0,9.0,0.1
76.0,5.13,88.0,8,92.0,91.0,0.1
75.4,5.16,94.0,166,95.0,95.0,0.1
75.7,4.82,9.0,17,91.0,87.0,0.1
75.0,4.56,93.0,23,95.0,93.0,0.1
75.5,4.25,36.0,28,87.0,84.0,0.1
75.2,4.14,92.0,18,87.0,87.0,0.1
75.4,3.84,92.0,28,86.0,8.0,0.1
74.9,3.85,92.0,0,92.0,91.0,0.1
74.6,3.64,92.0,43,87.0,85.0,0.1
65.7,3.755,95.0,0,96.0,95.0,2.2
65.1,0.01,95.0,1,96.0,95.0,2.3
64.2,0.01,95.0,1,96.0,95.0,2.8
63.4,0.01,95.0,7,96.0,95.0,4.4
62.2,5.76,95.0,8,96.0,95.0,5.5
61.1,5.99,95.0,853,96.0,95.0,6.2
59.2,5.01,94.0,184,96.0,96.0,9.0
57.5,6.56,94.0,0,96.0,96.0,12.7
56.9,6.21,93.0,1,96.0,96.0,13.4
54.8,6.45,93.0,6,96.0,96.0,14.4
51.7,6.37,92.0,5,96.0,96.0,20.6
48.1,4.9,91.0,1,96.0,96.0,28.4
46.4,5.51,9.0,59,96.0,96.0,31.9
46.0,6.41,88.0,7,97.0,97.0,34.6
46.7,5.48,87.0,1,97.0,97.0,37.2
47.8,5.37,86.0,2672,97.0,97.0,38.8
75.0,3.755,96.0,214,98.0,96.0,0.1
74.8,7.32,96.0,876,96.0,93.0,0.1
74.7,7.24,96.0,220,96.0,97.0,0.1
74.5,7.55,96.0,2,96.0,95.0,0.1
74.1,7.58,98.0,43,98.0,99.0,0.1
73.8,7.52,96.0,68,99.0,99.0,0.1
73.6,7.33,99.0,0,99.0,99.0,0.1
73.4,7.21,96.0,0,99.0,99.0,0.1
73.3,7.19,99.0,0,99.0,99.0,0.1
73.0,7.1,99.0,57,99.0,99.0,0.1
72.7,6.97,98.0,6,99.0,99.0,0.1
72.0,6.85,96.0,0,99.0,99.0,0.1
71.8,6.95,97.0,2,99.0,99.0,0.1
71.4,7.0,92.0,1,99.0,99.0,0.1
71.0,7.13,91.0,1,99.0,98.0,0.1
75.0,7.26,94.0,36,99.0,98.0,0.1
77.7,3.755,99.0,4,99.0,99.0,0.1
77.6,0.01,99.0,1,99.0,99.0,0.1
77.1,0.01,98.0,0,99.0,99.0,0.1
78.3,0.01,99.0,1,99.0,99.0,0.1
77.4,0.97,93.0,4,99.0,97.0,0.1
76.9,0.88,96.0,0,99.0,95.0,0.1
76.8,0.25,96.0,2,99.0,99.0,0.1
77.2,0.67,96.0,3,97.0,98.0,0.1
76.0,0.85,97.0,0,95.0,99.0,0.1
76.3,0.67,99.0,0,94.0,97.0,0.1
76.2,0.16,99.0,9,93.0,94.0,0.1
76.4,0.11,99.0,16,92.0,92.0,0.1
76.0,0.12,99.0,24,99.0,92.0,0.1
74.8,0.13,99.0,0,99.0,94.0,0.1
74.7,0.47,99.0,11,99.0,97.0,0.1
74.4,0.37,99.0,42,99.0,99.0,0.1
74.5,3.755,92.0,0,91.0,91.0,0.1
74.3,12.03,95.0,0,88.0,88.0,0.1
74.1,12.06,95.0,14,95.0,95.0,0.1
73.9,10.99,95.0,1,95.0,95.0,0.1
73.7,10.67,96.0,157,95.0,95.0,0.1
73.4,10.8,95.0,22004,94.0,94.0,0.1
73.2,10.93,96.0,2249,94.0,94.0,0.1
72.9,10.98,96.0,1,96.0,95.0,0.1
72.6,10.89,95.0,1,95.0,95.0,0.1
72.2,10.39,96.0,1,96.0,95.0,0.1
72.1,10.48,96.0,3,97.0,96.0,0.1
72.2,10.96,94.0,0,94.0,95.0,0.1
72.0,11.19,96.0,0,96.0,96.0,0.1
71.8,10.2,88.0,0,94.0,93.0,0.1
71.6,10.72,93.0,8,94.0,94.0,0.1
71.1,9.69,94.0,46,94.0,93.0,0.1
59.9,3.755,91.0,99,91.0,91.0,0.6
59.3,0.01,91.0,343,91.0,91.0,0.6
59.0,4.64,88.0,375,89.0,88.0,0.7
58.6,4.75,9.0,7362,9.0,9.0,0.8
58.1,4.51,91.0,860,9.0,91.0,0.9
57.5,4.55,91.0,2511,9.0,91.0,1.0
56.9,4.55,92.0,54118,91.0,92.0,1.1
56.1,4.5,93.0,395,92.0,93.0,1.5
55.3,4.58,89.0,12,93.0,89.0,1.7
54.3,4.73,76.0,125,94.0,86.0,2.0
53.3,4.88,92.0,253,94.0,82.0,2.3
52.4,4.54,92.0,77,83.0,79.0,2.5
51.6,4.58,92.0,2946,83.0,79.0,2.9
51.0,4.53,92.0,1744,69.0,69.0,3.2
56.0,4.56,92.0,4174,62.0,62.0,3.6
51.0,3.71,92.0,6074,45.0,45.0,4.0
59.6,3.755,94.0,9,94.0,94.0,0.7
59.1,0.01,95.0,0,95.0,95.0,0.7
58.6,0.01,96.0,0,96.0,96.0,1.0
58.0,0.01,96.0,49,96.0,96.0,1.2
57.4,4.16,96.0,129,95.0,96.0,1.5
56.8,4.16,96.0,495,94.0,96.0,1.9
56.2,4.05,94.0,305,96.0,94.0,2.4
55.3,4.33,92.0,173,89.0,92.0,2.9
54.8,4.54,99.0,43,93.0,99.0,3.4
54.1,4.5,92.0,784,88.0,92.0,3.8
53.4,5.54,87.0,0,82.0,87.0,4.3
52.6,5.72,83.0,2,76.0,83.0,4.8
51.9,5.84,92.0,224,75.0,82.0,5.1
51.5,5.98,92.0,1016,74.0,81.0,5.2
51.3,6.09,92.0,0,72.0,81.0,5.3
58.0,6.61,92.0,18363,71.0,8.0,5.2
53.3,3.755,83.0,65,81.0,83.0,1.9
52.8,0.01,76.0,50,76.0,76.0,2.0
52.3,3.15,8.0,48,79.0,8.0,2.4
52.0,3.24,82.0,137,83.0,82.0,2.9
51.7,3.13,62.0,628,58.0,62.0,3.3
51.5,3.15,85.0,441,81.0,85.0,3.3
51.0,2.92,81.0,183,77.0,81.0,3.7
54.0,2.69,74.0,12,58.0,74.0,4.1
49.9,2.58,76.0,5,75.0,76.0,5.3
49.4,2.65,77.0,11,76.0,77.0,5.8
48.7,3.11,76.0,115,87.0,76.0,6.1
48.2,3.08,67.0,3466,76.0,67.0,6.5
48.0,3.12,63.0,4770,68.0,61.0,6.7
47.7,3.13,48.0,5882,7.0,64.0,6.9
47.8,3.15,1.0,5790,7.0,66.0,7.0
47.9,3.45,92.0,5729,66.0,65.0,7.1
73.3,3.755,96.0,0,93.0,93.0,0.2
73.0,0.01,97.0,0,95.0,95.0,0.2
72.8,0.01,94.0,0,93.0,93.0,0.2
72.7,0.01,94.0,0,94.0,94.0,0.3
72.6,5.07,9.0,0,9.0,9.0,0.3
72.5,4.75,98.0,0,99.0,99.0,0.4
72.4,4.45,98.0,0,99.0,99.0,0.4
72.4,4.16,98.0,0,99.0,99.0,0.4
72.3,5.28,96.0,0,98.0,98.0,0.6
72.1,4.25,95.0,0,97.0,96.0,0.6
71.8,4.26,93.0,0,95.0,95.0,0.8
71.4,4.19,91.0,0,94.0,93.0,0.8
71.1,4.16,66.0,0,93.0,92.0,0.9
77.0,3.82,4.0,0,92.0,91.0,0.8
73.0,3.81,92.0,0,91.0,9.0,0.8
69.9,3.49,92.0,2,9.0,9.0,0.8
68.7,3.755,89.0,0,87.0,89.0,0.2
68.3,0.01,88.0,0,87.0,88.0,0.2
67.8,0.01,83.0,0,66.0,83.0,0.2
67.4,0.01,86.0,15,84.0,86.0,0.3
67.0,2.12,88.0,722,87.0,88.0,0.3
66.6,2.2,89.0,1156,88.0,89.0,0.5
66.1,2.13,92.0,4779,95.0,94.0,0.6
65.6,2.24,91.0,4211,91.0,91.0,0.7
65.0,2.08,82.0,394,82.0,82.0,0.9
64.1,2.03,8.0,188,8.0,8.0,1.1
62.9,1.99,92.0,264,82.0,82.0,1.4
61.5,1.38,92.0,352,86.0,85.0,1.7
63.0,1.44,92.0,653,69.0,69.0,1.9
59.3,1.43,92.0,1361,54.0,54.0,2.1
58.5,1.71,92.0,3761,59.0,6.0,2.2
57.7,1.51,92.0,12237,62.0,59.0,2.1
57.3,3.755,84.0,1809,83.0,84.0,3.5
56.7,0.01,87.0,831,86.0,87.0,3.7
56.4,0.01,89.0,760,88.0,89.0,4.0
55.9,0.01,85.0,609,85.0,85.0,4.6
55.6,6.19,82.0,504,8.0,82.0,4.9
55.3,6.15,84.0,240,83.0,84.0,5.5
54.8,5.89,8.0,251,79.0,8.0,6.3
54.2,5.9,84.0,495,82.0,84.0,6.7
53.6,5.44,82.0,100,81.0,82.0,7.0
53.3,5.22,81.0,196,78.0,81.0,7.2
52.8,5.03,79.0,605,79.0,8.0,7.4
52.1,4.71,92.0,358,72.0,73.0,7.5
51.8,4.64,92.0,899,72.0,73.0,7.7
51.6,4.58,92.0,1448,66.0,66.0,7.8
51.5,4.43,92.0,23934,61.0,63.0,7.9
51.4,3.91,92.0,14629,57.0,62.0,7.7
82.2,3.755,55.0,195,91.0,91.0,0.1
82.0,8.1,55.0,418,91.0,91.0,0.1
81.8,8.2,55.0,83,91.0,91.0,0.1
81.6,8.3,7.0,10,99.0,95.0,0.1
81.5,8.2,7.0,803,87.0,87.0,0.1
81.2,8.4,56.0,99,88.0,89.0,0.1
81.0,8.4,42.0,14,89.0,91.0,0.1
87.0,8.3,28.0,62,89.0,92.0,0.1
85.0,8.3,14.0,101,9.0,94.0,0.1
85.0,8.2,14.0,13,95.0,95.0,0.1
81.0,8.0,14.0,6,93.0,93.0,0.1
80.0,7.8,14.0,7,91.0,91.0,0.1
79.7,7.7,14.0,15,88.0,91.0,0.1
79.5,7.7,92.0,6,88.0,88.0,0.1
79.4,7.6,92.0,34,88.0,89.0,0.1
79.1,7.6,92.0,206,88.0,89.0,0.1
52.5,3.755,47.0,150,47.0,47.0,4.4
58.0,0.01,47.0,210,47.0,47.0,4.5
49.9,0.01,23.0,596,23.0,23.0,5.1
53.0,0.01,47.0,141,47.0,47.0,5.1
49.8,1.66,47.0,679,47.0,47.0,5.8
49.2,1.67,45.0,2,46.0,45.0,6.6
48.6,1.56,42.0,11,45.0,42.0,7.3
47.6,1.52,92.0,12,46.0,45.0,8.3
46.8,1.5,92.0,49,46.0,48.0,9.0
46.3,1.54,92.0,3,47.0,51.0,10.0
45.9,1.5,92.0,471,47.0,54.0,11.2
45.7,1.5,92.0,1233,45.0,51.0,12.0
45.7,1.49,92.0,652,44.0,47.0,12.8
45.6,1.47,92.0,938,42.0,44.0,13.4
45.6,1.52,92.0,2837,4.0,4.0,13.9
46.0,1.51,92.0,3207,38.0,37.0,14.3
53.1,3.755,46.0,418,52.0,46.0,2.8
52.6,0.01,37.0,1275,44.0,37.0,2.9
52.2,0.64,39.0,226,46.0,39.0,3.1
51.8,0.62,4.0,120,51.0,4.0,3.6
